13:44:51.391 INFO  - Прошла операция
13:44:51.393 INFO  - CVV должен состоять из 3 цифр
13:45:22.426 INFO  - [[cardFromCVV : 3440] - размер CVC / CVC2 должен находиться в диапазоне от 3 до 3]
13:45:31.953 INFO  - Прошла операция
13:45:31.953 INFO  - CVV должен состоять из 3 цифр
13:45:56.674 INFO  - Прошла операция
13:45:56.675 INFO  - CVV должен состоять из 3 цифр
13:47:19.636 INFO  - 1111354545445422 не найдена в базе данных
13:48:19.108 INFO  - 1111111111111111 не найдена в базе данных
13:52:04.408 INFO  - [[cardFromCVV : 11] - размер CVC / CVC2 должен находиться в диапазоне от 3 до 3]
13:52:20.161 INFO  - CVV должен состоять из 3 цифр
13:52:31.328 INFO  - 1111111111111121 не найдена в базе данных
13:53:13.799 INFO  - 2222222222222122 не найдена в базе данных
15:14:59.112 INFO  - Недостаточно средств для перевода
15:15:11.053 INFO  - Недостаточно средств для перевода
15:15:21.763 INFO  - Недостаточно средств для перевода
15:15:37.917 INFO  - Недостаточно средств для перевода
15:15:42.909 INFO  - Недостаточно средств для перевода
15:15:48.528 INFO  - [[amount.value : 0] - Сумма не может быть меньше 1]
15:15:53.225 INFO  - Недостаточно средств для перевода
15:17:07.946 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 1, currency RUR, commission 0
15:17:38.174 INFO  - Неверный код подтверждения
15:17:44.940 INFO  - Неверный код подтверждения
15:17:49.579 INFO  - Неверный код подтверждения
15:18:27.852 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 1, currency RUR, commission 0
15:18:35.707 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 1, currency RUR, commission 0
15:19:02.848 INFO  - Зарегестрирован новый перевод: Operation id 2, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:19:59.977 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 1, currency RUR, commission 0
15:21:01.685 INFO  - Перевод подтвержден: Operation id 2, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:24:39.636 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:24:50.522 INFO  - Неверный id операции
15:24:56.787 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:30:14.077 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:30:16.930 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:33:04.337 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:33:06.465 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:37:43.775 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:37:46.380 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:38:06.117 INFO  - Зарегестрирован новый перевод: Operation id 2, CardFrom 1111111111111111, CardTo 2222222222222222, amount 9495, currency RUR, commission 94
15:38:31.350 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 500, currency RUR, commission 5
15:39:16.300 INFO  - Перевод подтвержден: Operation id 2, CardFrom 1111111111111111, CardTo 2222222222222222, amount 9495, currency RUR, commission 94
15:45:23.346 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 9900, currency RUR, commission 99
15:45:34.250 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 9900, currency RUR, commission 99
15:45:53.335 INFO  - Недостаточно средств для перевода
15:45:59.227 INFO  - Недостаточно средств для перевода
15:46:03.187 INFO  - Зарегестрирован новый перевод: Operation id 2, CardFrom 1111111111111111, CardTo 2222222222222222, amount 1, currency RUR, commission 0
15:46:06.970 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 9900, currency RUR, commission 99
15:46:49.526 INFO  - Недостаточно средств для перевода
15:46:59.258 INFO  - Недостаточно средств для перевода
15:47:06.341 INFO  - Недостаточно средств для перевода
15:47:11.321 INFO  - Недостаточно средств для перевода
15:47:15.356 INFO  - Недостаточно средств для перевода
15:47:21.105 INFO  - Недостаточно средств для перевода
15:47:27.900 INFO  - Недостаточно средств для перевода
15:47:59.323 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 9901, currency RUR, commission 99
15:48:12.209 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 9901, currency RUR, commission 99
15:49:11.254 INFO  - Недостаточно средств для перевода
15:49:18.345 INFO  - Недостаточно средств для перевода
15:49:50.210 INFO  - Недостаточно средств для перевода
15:50:08.460 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1
15:50:08.473 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1
15:50:59.855 INFO  - 1111111111111112 не найдена в базе данных
15:51:17.425 INFO  - Номер карты отправителя и получателя должны быть разными
15:52:08.391 INFO  - Зарегестрирован новый перевод: Operation id 2, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1
15:52:08.400 INFO  - Перевод подтвержден: Operation id 2, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1
18:04:26.971 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100.0, currency RUR, commission 1.0
18:04:27.000 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100.0, currency RUR, commission 1.0
18:06:49.255 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1
18:06:49.292 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1
18:50:58.305 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100.0, currency RUR, commission 1.0
18:50:58.332 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100.0, currency RUR, commission 1.0
18:52:55.052 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1.0
18:52:55.081 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1.0
18:55:11.247 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1
18:55:11.278 INFO  - Перевод подтвержден: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100, currency RUR, commission 1
18:55:52.432 INFO  - Недостаточно средств для перевода
18:55:57.477 INFO  - Зарегестрирован новый перевод: Operation id 2, CardFrom 1111111111111111, CardTo 2222222222222222, amount 1000, currency RUR, commission 10
18:55:57.495 INFO  - Перевод подтвержден: Operation id 2, CardFrom 1111111111111111, CardTo 2222222222222222, amount 1000, currency RUR, commission 10
19:04:06.019 INFO  - Зарегестрирован новый перевод: Operation id 1, CardFrom 1111111111111111, CardTo 2222222222222222, amount 100.0, currency RUR, commission 0
